iter	Passed	Remaining
537	778	668
538	779	666
539	780	664
540	781	663
541	782	661
542	783	659
543	784	657
544	785	656
545	786	654
546	788	652
547	789	650
548	790	649
549	791	647
550	792	646
551	793	644
552	795	642
553	796	641
554	797	639
555	798	637
556	799	635
557	800	634
558	801	632
559	803	631
560	804	629
561	805	627
562	806	626
563	808	624
564	809	622
565	810	621
566	811	619
567	812	617
568	813	616
569	814	614
570	815	612
571	816	610
572	817	609
573	818	607
574	819	605
575	820	604
576	821	602
577	823	601
578	824	599
579	825	597
580	826	596
581	827	594
582	828	592
583	830	591
584	831	589
585	832	588
586	833	586
587	834	584
588	835	583
589	837	581
590	838	580
591	839	578
592	840	576
593	841	575
594	842	573
595	844	572
596	845	570
597	846	568
598	847	567
599	848	565
600	849	564
601	850	562
602	851	560
603	853	559
604	854	557
605	855	556
606	856	554
607	857	553
608	858	551
609	860	549
610	861	548
611	862	546
612	863	545
613	864	543
614	865	541
615	866	540
616	868	538
617	869	537
618	870	535
619	871	534
620	872	532
621	873	530
622	874	529
623	875	527
624	876	526
625	877	524
626	879	522
627	880	521
628	881	519
629	882	518
630	883	516
631	884	515
632	886	513
633	887	512
634	888	510
635	889	509
636	890	507
637	891	506
638	892	504
639	894	502
640	895	501
641	896	499
642	897	498
643	899	497
644	900	495
645	901	494
646	902	492
647	904	491
648	905	489
649	906	488
650	907	486
651	909	485
652	910	483
653	911	482
654	912	480
655	914	479
656	915	477
657	916	476
658	917	475
659	919	473
660	920	472
661	921	470
662	922	469
663	924	467
664	925	466
665	926	464
666	927	463
667	929	461
668	930	460
669	932	459
670	933	457
671	934	456
672	936	454
673	937	453
674	938	452
675	939	450
676	941	448
677	942	447
678	943	445
679	944	444
680	945	442
681	946	441
682	947	439
683	949	438
684	950	437
685	951	435
686	952	434
687	954	432
688	955	431
689	956	429
690	957	428
691	958	426
692	959	425
693	960	423
694	962	422
695	963	420
696	964	419
697	965	417
698	966	416
699	968	414
700	969	413
701	970	411
702	971	410
703	972	408
704	973	407
705	974	406
706	976	404
707	977	403
708	978	401
709	979	400
710	980	398
711	981	397
712	982	395
713	984	394
714	985	392
715	986	391
716	987	389
717	988	388
718	989	386
719	990	385
720	992	383
721	993	382
722	994	380
723	995	379
724	996	377
725	997	376
726	998	374
727	999	373
728	1000	371
729	1001	370
730	1002	369
731	1004	367
732	1005	366
733	1006	364
734	1007	363
735	1008	361
736	1009	360
737	1010	358
738	1012	357
739	1012	355
740	1013	354
741	1015	352
742	1016	351
743	1017	350
744	1018	348
745	1019	347
746	1020	345
747	1021	344
748	1023	342
749	1024	341
750	1025	339
751	1026	338
752	1027	337
753	1028	335
754	1029	334
755	1031	332
756	1031	331
757	1032	329
758	1033	328
759	1035	326
760	1036	325
761	1037	324
762	1038	322
763	1039	321
764	1041	319
765	1042	318
766	1043	316
767	1044	315
768	1045	314
769	1046	312
770	1048	311
771	1049	309
772	1050	308
773	1051	307
774	1053	305
775	1054	304
776	1055	302
777	1056	301
778	1057	299
779	1058	298
780	1059	297
781	1060	295
782	1062	294
783	1063	292
784	1064	291
785	1065	290
786	1066	288
787	1067	287
788	1069	285
789	1070	284
790	1071	283
791	1072	281
792	1073	280
793	1074	278
794	1075	277
795	1076	275
796	1078	274
797	1079	273
798	1080	271
799	1081	270
800	1082	268
801	1083	267
802	1084	266
803	1085	264
804	1086	263
805	1087	261
806	1088	260
807	1090	259
808	1091	257
809	1092	256
810	1093	254
811	1094	253
812	1095	252
813	1096	250
814	1097	249
815	1099	247
816	1100	246
817	1101	245
818	1102	243
819	1103	242
820	1104	240
821	1105	239
822	1107	238
823	1107	236
824	1109	235
825	1110	233
826	1111	232
827	1112	231
828	1113	229
829	1114	228
830	1116	226
831	1117	225
832	1118	224
833	1119	222
834	1120	221
835	1121	220
836	1122	218
837	1124	217
838	1125	215
839	1126	214
840	1127	213
841	1128	211
842	1129	210
843	1130	209
844	1132	207
845	1133	206
846	1134	204
847	1135	203
848	1136	202
849	1137	200
850	1138	199
851	1139	197
852	1140	196
853	1141	195
854	1143	193
855	1144	192
856	1145	191
857	1146	189
858	1147	188
859	1148	187
860	1149	185
861	1150	184
862	1151	182
863	1153	181
864	1154	180
865	1155	178
866	1156	177
867	1157	176
868	1159	174
869	1160	173
870	1161	172
871	1162	170
872	1163	169
873	1164	167
874	1166	166
875	1167	165
876	1168	163
877	1169	162
878	1170	161
879	1171	159
880	1172	158
881	1174	157
882	1175	155
883	1176	154
884	1177	153
885	1178	151
886	1179	150
887	1180	148
888	1182	147
889	1183	146
890	1184	144
891	1185	143
892	1186	142
893	1187	140
894	1188	139
895	1190	138
896	1191	136
897	1192	135
898	1192	134
899	1194	132
900	1195	131
901	1196	129
902	1197	128
903	1198	127
904	1200	125
905	1201	124
906	1202	123
907	1203	121
908	1204	120
909	1205	119
910	1206	117
911	1207	116
912	1208	115
913	1209	113
914	1210	112
915	1211	111
916	1212	109
917	1214	108
918	1215	107
919	1216	105
920	1217	104
921	1218	103
922	1219	101
923	1220	100
924	1221	99
925	1223	97
926	1224	96
927	1225	95
928	1226	93
929	1226	92
930	1227	91
931	1228	89
932	1230	88
933	1231	87
934	1232	85
935	1233	84
936	1234	83
937	1235	81
938	1236	80
939	1238	79
940	1239	77
941	1240	76
942	1241	75
943	1242	73
944	1243	72
945	1244	71
946	1245	69
947	1247	68
948	1248	67
949	1249	65
950	1250	64
951	1251	63
952	1252	61
953	1254	60
954	1255	59
955	1256	57
956	1257	56
957	1258	55
958	1259	53
959	1261	52
960	1262	51
961	1263	49
962	1264	48
963	1265	47
964	1266	45
965	1268	44
966	1269	43
967	1270	41
968	1271	40
969	1272	39
970	1273	38
971	1274	36
972	1275	35
973	1276	34
974	1278	32
975	1279	31
976	1279	30
977	1280	28
978	1282	27
979	1283	26
980	1284	24
981	1285	23
982	1286	22
983	1287	20
984	1288	19
985	1289	18
986	1290	16
987	1291	15
988	1292	14
989	1293	13
990	1295	11
991	1296	10
992	1297	9
993	1298	7
994	1299	6
995	1300	5
996	1302	3
997	1303	2
998	1304	1
999	1305	0
